"Blue Buffalo True Solutions Dog Food","Animals & Pet Supplies","Pet Supplies",244.02379
"Royal Canin kitten food 6.8 kg and select Purina Pro Plan cat food 2.2-3.1 kg","Animals & Pet Supplies","Pet Supplies",240.38382
"Blue Buffalo True Solutions Cat Food","Animals & Pet Supplies","Pet Supplies",232.89453
"Science Diet cat food, 1.3-1.8kg and Royal Canin kitten food, 3.1kg","Animals & Pet Supplies","Pet Supplies",232.7551
"Blue Buffalo True Solutions Canned Cat Food","Animals & Pet Supplies","Pet Supplies",232.26494
"PURINA Friskies Cat Food 7.26kg - 7.5kg","Animals & Pet Supplies","Pet Supplies",227.5046
"Cesar® Dog Food","Animals & Pet Supplies","Pet Supplies",217.6419
"Blue Buffalo True Solutions Canned Dog Food","Animals & Pet Supplies","Pet Supplies",213.68497
"Iams®, WHISKAS® cat food","Animals & Pet Supplies","Pet Supplies",209.87003
"PC NUTRITION FIRST DRY CAT FOOD","Animals & Pet Supplies","Pet Supplies",208.95592
"Purina® ONE® Beyond® cat food","Animals & Pet Supplies","Pet Supplies",207.97432
"PC EXTRA MEATY (624g) or NUTRITION FIRST (374g) WET DOG FOOD","Animals & Pet Supplies","Pet Supplies",205.16019
"IAMS®, Pedigree® and Beyond dog food","Animals & Pet Supplies","Pet Supplies",205.13979
"Purina® Pro Plan® Dog Food","Animals & Pet Supplies","Pet Supplies",203.40988
"Iams Dog Food 13.2kg -18.14kg","Animals & Pet Supplies","Pet Supplies",200.28876
"Fancy Feast® Cat Food","Animals & Pet Supplies","Pet Supplies",199.38623
"Iams Selected Dog, Puppy and Cat Food","Animals & Pet Supplies","Pet Supplies",196.09784
"GO! SOLUTIONS Cat Food","Animals & Pet Supplies","Pet Supplies",193.58693
"Purina® Pro Plan® dog food","Animals & Pet Supplies","Pet Supplies",193.362
"NULO, Simply Nourish®, Wellness® and Halo® cat food","Animals & Pet Supplies","Pet Supplies",192.53348
"PURINA Selected Dog Food and Treats","Animals & Pet Supplies","Pet Supplies",191.52045
"Nutro™ Natural Choice® Dog Food","Animals & Pet Supplies","Pet Supplies",189.54842
"PURINA PET FOOD","Animals & Pet Supplies","Pet Supplies",187.70537
"BLUE Wilderness® and BLUE Life Protection Formula® cat food","Animals & Pet Supplies","Pet Supplies",187.39484
"ORIJEN Dog Food","Animals & Pet Supplies","Pet Supplies",186.84914
